All,બધા
"Adjustment Fee","એડજસ્ટમેન્ટ ફી"
"Send Email","ઈ - મેલ મોકલો"
"Are you sure you want to send a credit memo email to customer?","શું તમે ખરેખર ગ્રાહકને ક્રેડિટ મેમો ઇમેઇલ મોકલવા માંગો છો?"
Void,રદ
Print,છાપો
"The credit memo email was sent.","ક્રેડિટ મેમો ઇમેઇલ મોકલવામાં આવ્યો હતો."
"The credit memo email wasn't sent.","ક્રેડિટ મેમો ઇમેઇલ મોકલવામાં આવ્યો ન હતો."
"Credit Memo #%1 | %3 | %2 (%4)","ક્રેડિટ મેમો #%1 | %3 | %2 (%4)"
"Total Refund","કુલ રિફંડ"
"New Invoice and Shipment for Order #%1","ઓર્ડર #%1 માટે નવું ભરતિયું અને શિપમેન્ટ"
"New Invoice for Order #%1","ઑર્ડર #%1 માટેનો નવી ઇનવોઇસ"
"Submit Invoice and Shipment","ભરતિયું અને શિપમેન્ટ સબમિટ કરો"
"Submit Invoice","ભરતિયું સબમિટ કરો"
"Are you sure you want to send an invoice email to customer?","શું તમે ખરેખર ગ્રાહકને ઇનવોઇસ ઇમેઇલ મોકલવા માંગો છો?"
"Credit Memo","ક્રેડિટ મેમો"
Capture,કેપ્ચર
"The invoice email was sent.","ઇનવૉઇસ ઇમેઇલ મોકલવામાં આવ્યો હતો."
"The invoice email wasn't sent.","ઇનવૉઇસ ઇમેઇલ મોકલવામાં આવ્યો ન હતો."
"Invoice #%1 | %2 | %4 (%3)","ભરતિયું #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","આ બ્લોક માટે અમાન્ય પેરેંટ બ્લોક"
"Order Statuses","ઓર્ડર સ્થિતિ"
"Create New Status","નવી સ્થિતિ બનાવો"
"Assign Status to State","રાજ્યની સ્થિતિ સોંપી"
"Save Status Assignment","સ્થિતિ સોંપણી સાચવો"
"Assign Order Status to State","રાજ્ય માટે ઓર્ડર સ્થિતિ સોંપી"
"Assignment Information","સોંપણી માહિતી"
"Order Status","ઓર્ડર સ્થિતિ"
"Order State","ઓર્ડર સ્ટેટ"
"Use Order Status As Default","ડિફોલ્ટ તરીકે ઑર્ડર સ્થિતિનો ઉપયોગ કરો"
"Visible On Storefront","સ્ટોરફ્રન્ટ પર દૃશ્યમાન"
"Edit Order Status","ઑર્ડર સ્થિતિ સંપાદિત કરો"
"Save Status","સ્થિતિ સાચવો"
"New Order Status","નવી ઓર્ડર સ્થિતિ"
"Order Status Information","ઓર્ડર સ્થિતિ માહિતી"
"Status Code","સ્થિતિ કોડ"
"Status Label","સ્થિતિ લેબલ"
"Store View Specific Labels","દુકાન વિશિષ્ટ લેબલ્સ જુઓ"
"Total Paid","કુલ ચૂકવણી"
"Total Refunded","કુલ રિફંડ"
"Are you sure you want to send an order email to customer?","શું તમે ખરેખર ગ્રાહકને ઓર્ડર ઇમેઇલ મોકલવા માંગો છો?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","આ ઑફલાઇન રિફંડ બનાવશે. ઑનલાઇન રિફંડ બનાવવા માટે, એક ઇનવોઇસ ખોલો અને તેના માટે ક્રેડિટ મેમો બનાવો. શું તમે ચાલુ રાખવા માંગો છો?"
"Are you sure you want to void the payment?","શું તમે ખરેખર ચૂકવણીને રદ કરવા માંગો છો?"
Hold,"પકડી રાખવું"
hold,"પકડી રાખવું"
Unhold,અનહોલ્ડ
unhold,અનહોલ્ડ
"Are you sure you want to accept this payment?","શું તમે ખરેખર આ ચુકવણી સ્વીકારવા માંગો છો?"
"Accept Payment","ચુકવણી સ્વીકારો"
"Are you sure you want to deny this payment?","શું તમે ખરેખર આ ચુકવણીને નકારવા માંગો છો?"
"Deny Payment","ચુકવણી નકારો"
"Get Payment Update","ચુકવણી સુધારો મેળવો"
"Invoice and Ship","ભરતિયું અને શિપ"
Invoice,ભરતિયું
Ship,શિપ
Reorder,"ફરીથી ગોઠવો"
"Order # %1 %2 | %3","ઑર્ડર #%1%2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","આ ઑર્ડરમાં (%1) આઇટમ્સ શામેલ છે અને તેથી એડમિન ઇંટરફેસ દ્વારા સંપાદિત કરી શકાતા નથી. જો તમે સંપાદન ચાલુ રાખવા માંગો છો, તો (%2) આઇટમ્સ દૂર કરવામાં આવશે, ઓર્ડર રદ થશે અને એક નવું ઑર્ડર મૂકવામાં આવશે."
"Are you sure? This order will be canceled and a new one will be created instead.","શું તમે ખાતરી કરો છો? આ ઓર્ડર રદ થશે અને તેના બદલે એક નવું બનાવાશે."
"Save Gift Message","ભેટ સંદેશ સાચવો"
" [deleted]"," [કાઢી નાખ્યું]"
"Order Credit Memos","ઑર્ડર ક્રેડિટ મેમોસ"
"Credit memo #%1 created","ક્રેડિટ મેમો #%1 બનાવ્યું"
"Credit memo #%1 comment added","ક્રેડિટ મેમો #%1 ટિપ્પણી ઉમેરાઈ"
"Shipment #%1 created","શિપમેન્ટ #%1 બનાવ્યું"
"Shipment #%1 comment added","શિપમેન્ટ #%1 ટિપ્પણી ઉમેરાઈ"
"Invoice #%1 created","ભરતિયું #%1 બનાવ્યું"
"Invoice #%1 comment added","ભરતિયું #%1 ટિપ્પણી ઉમેરાઈ"
"Tracking number %1 for %2 assigned","સોંપેલ%2 માટે ટ્રેકિંગ નંબર%1"
"Comments History","ટિપ્પણીઓ ઇતિહાસ"
"Order History","ઓર્ડર હિસ્ટ્રી"
Information,માહિતી
"Order Information","ઓર્ડર માહિતી"
"Order Invoices","ઑર્ડર ઇન્વોઇસિસ"
Shipments,શિપમેન્ટ
"Order Shipments","ઓર્ડર શિપમેન્ટ્સ"
Transactions,વ્યવહારો
"Order View","ઑર્ડર દૃશ્ય"
Any,કોઈપણ
"Applies to Any of the Specified Order Statuses except canceled orders","રદ કરેલ ઓર્ડર્સ સિવાય કોઈ પણ ઉલ્લેખિત ઑર્ડર સ્થિતિ પર લાગુ થાય છે"
"Cart Price Rule","કાર્ટ ભાવ નિયમ"
"Show Actual Values","વાસ્તવિક મૂલ્યો બતાવો"
"New Order RSS","નવી ઓર્ડર આરએસએસ"
"Discount (%1)","ડિસ્કાઉન્ટ (%1)"
"Shipping & Handling","શિપિંગ અને હેન્ડલિંગ"
"Grand Total","ગ્રાન્ડ કુલ"
Fetch,મેળવો
"Transaction # %1 | %2","ટ્રાંઝેક્શન #%1 | %2"
Key,કી
Value,મૂલ્ય
"We found an invalid entity model.","અમને અમાન્ય એન્ટિટી મોડેલ મળ્યું."
"Order # %1","ઑર્ડર #%1"
"Back to My Orders","મારા ઓર્ડર પર પાછા ફરો"
"View Another Order","બીજું ઓર્ડર જુઓ"
"About Your Refund","તમારી રિફંડ વિશે"
